Metro,POP_1980,LPOP_1980,R90_10_1980,POP_2015,LPOP_2015,R90_10_2015,nyt_display,state_display,highlight
"bremerton-silverdale, wa",148400,5.2,4.1,259749,5.4,4.8,Bremerton-Silverdale,Wash.,NaN
"amarillo, tx",173300,5.2,3.9,251850,5.4,5.6,Amarillo,Tex.,NaN
"yakima, wa",181700,5.3,3.9,249103,5.4,4.2,Yakima,Wash.,NaN
"waco, tx",172300,5.2,4.2,246098,5.4,5.3,Waco,Tex.,NaN
"binghamton, ny",249000,5.4,4.5,232022,5.4,4.8,"Binghamton, N.Y.",N.Y.,1
"chico, ca",144600,5.2,3.7,225508,5.4,5.8,Chico,Calif.,NaN
"topeka, ks",114900,5.1,3.8,225208,5.4,4.4,Topeka,Kan.,NaN
"tyler, tx",128200,5.1,4.2,222951,5.3,6.9,Tyler,Tex.,NaN
"tuscaloosa, al",140900,5.1,4.3,222919,5.3,5.6,Tuscaloosa,Ala.,NaN
"burlington-south burlington, vt",112700,5.1,4.3,217224,5.3,5,Burlington-South Burlington,Vt.,NaN
"medford, or",132400,5.1,4.2,212335,5.3,4.7,Medford,Ore.,NaN
"bellingham, wa",106200,5,3.8,211766,5.3,5.2,Bellingham,Wash.,NaN
"champaign-urbana, il",169800,5.2,4.5,208363,5.3,5,Champaign-Urbana,Ill.,NaN
"florence, sc",109100,5,4.2,206317,5.3,5.5,Florence,S.C.,NaN
"elkhart-goshen, in",135600,5.1,3.3,203601,5.3,5.1,Elkhart-Goshen,Ind.,NaN
"springfield, il",186200,5.3,3.7,198801,5.3,5.3,Springfield,Ill.,NaN
"charleston, wv",265100,5.4,3.8,195842,5.3,5.9,Charleston,W.Va.,NaN
"racine, wi",172600,5.2,3.8,195084,5.3,5.3,Racine,Wis.,NaN
"saginaw, mi",346000,5.5,3.9,193614,5.3,5.3,Saginaw,Mich.,NaN
"lafayette-west lafayette, in",124400,5.1,4.5,185629,5.3,4.9,Lafayette-West Lafayette,Ind.,NaN
"redding, ca",116800,5.1,4.1,178783,5.3,6.3,Redding,Calif.,NaN
"joplin, mo",127500,5.1,3.9,177378,5.2,4.7,Joplin,Mo.,NaN
"columbia, mo",100900,5,4.4,175096,5.2,4.2,Columbia,Mo.,NaN
"bloomington, il",116100,5.1,3.8,173828,5.2,5.6,Bloomington,Ill.,NaN
"muskegon, mi",181300,5.3,3.4,173208,5.2,4.3,Muskegon,Mich.,NaN
"yuba city, ca",101900,5,3.8,170768,5.2,4.7,Yuba City,Calif.,NaN
"oshkosh-neenah, wi",287100,5.5,3.4,169526,5.2,4.1,Oshkosh-Neenah,Wis.,NaN
"janesville-beloit, wi",136200,5.1,3.8,161189,5.2,4.5,Janesville-Beloit,Wis.,NaN
"state college, pa",111500,5,3.6,160978,5.2,4.8,State College,Pa.,NaN
"odessa, tx",116200,5.1,4.3,159611,5.2,6.9,Odessa,Tex.,NaN
"jackson, mi",155200,5.2,3.7,159422,5.2,4.3,Jackson,Mich.,NaN
"monroe, la",132300,5.1,4.1,157118,5.2,5.6,Monroe,La.,NaN
"eau claire, wi",132400,5.1,3.5,156572,5.2,4.4,Eau Claire,Wis.,NaN
"pueblo, co",125900,5.1,5,155551,5.2,6,Pueblo,Colo.,NaN
"niles-benton harbor, mi",168000,5.2,3.9,154552,5.2,5.6,Niles-Benton Harbor,Mich.,NaN
"johnstown, pa",265900,5.4,4,136857,5.1,3.9,Johnstown,Pa.,NaN
"wausau, wi",110900,5,3.3,136088,5.1,4,Wausau,Wis.,NaN
"wichita falls, tx",135000,5.1,4.2,132840,5.1,5,Wichita Falls,Tex.,NaN
"glens falls, ny",110400,5,3.9,126888,5.1,4.7,Glens Falls,N.Y.,NaN
"mansfield, oh",128500,5.1,3.9,121727,5.1,4.6,Mansfield,Ohio,NaN
"st. joseph, mo-ks",104100,5,3.8,118997,5.1,4.4,St. Joseph,Mo.-Kan.,NaN
"muncie, in",129300,5.1,3.7,116910,5.1,5,Muncie,Ind.,NaN
"anniston-oxford-jacksonville, al",121400,5.1,3.3,115497,5.1,5,Anniston-Oxford-Jacksonville,Ala.,NaN
"sheboygan, wi",101500,5,3.4,115119,5.1,4,Sheboygan,Wis.,NaN
"kankakee, il",104300,5,4.2,111521,5,4.8,Kankakee,Ill.,NaN
"decatur, il",131000,5.1,4.4,107245,5,5.1,Decatur,Ill.,NaN
"lima, oh",216000,5.3,3.6,104203,5,5,Lima,Ohio,NaN
"gadsden, al",103300,5,5,103007,5,4.7,Gadsden,Ala.,NaN
"parkersburg-vienna, wv",165900,5.2,4,100937,5,6,Parkersburg-Vienna,W.Va.,NaN
